"","P1","P2","X16035_N028","X16035_N029","X16035_N030","X16035_N031","X16035_N032","X16035_N033","X16035_N034","X16035_N035","X16035_N036","X16035_N038","X16035_N039","X16400_N047","X16400_N050","X16400_N051","X16400_N052","X16400_N053","X16400_N055","X16400_N057","X16400_N058","X16400_N060","X16400_N062","X16400_N066","X16400_N069","X16400_N072","X16405_N075","X16405_N076","X16405_N077","X16405_N081","X16405_N082","X16405_N084","X16405_N086","X16405_N087","X16405_N088","X16405_N090","X16405_N092","X16405_N093","X16405_N095","X16405_N096","X16405_N097","X16405_N098","X16405_N099","X16035_N016","X16035_N017","X16035_N018","X16035_N020","X16035_N024","X16035_N025","X16035_N026","X16400_N018","X16400_N020","X16400_N021","X16400_N022","X16400_N023","X16400_N025","X16400_N028","X16400_N031","X16400_N035","X16400_N036","X16400_N038","X16400_N040","X16400_N041","X16400_N043","X16400_N044","X16400_N045","X16405_N041","X16405_N044","X16405_N045","X16405_N046","X16405_N047","X16405_N048","X16405_N050","X16405_N053","X16405_N055","X16405_N059","X16405_N060","X16405_N061","X16405_N062","X16405_N063","X16405_N065","X16405_N070","X16035_N040","X16035_N042","X16035_N045","X16035_N046","X16035_N047","X16035_N048","X16035_N049","X16035_N051","X16035_N054","X16035_N056","X16400_N073","X16400_N076","X16400_N080","X16400_N084","X16400_N086","X16400_N088","X16400_N089","X16400_N091","X16400_N092","X16400_N093","X16400_N095","X16400_N098","X16400_N099","X16400_N100","X16405_N100","X16405_N101","X16405_N102","X16405_N103","X16405_N104","X16405_N105","X16405_N106","X16405_N107","X16405_N109","X16405_N110","X16405_N112","X16405_N113","X16405_N115","X16405_N117","X16405_N120","X16405_N122","X16405_N123","X16405_N125","X16400_N001","X16400_N002","X16400_N003","X16400_N004","X16400_N005","X16400_N006","X16400_N007","X16400_N008","X16400_N010","X16400_N011","X16400_N012","X16400_N013","X16400_N014","X16400_N015","X16400_N016","X16400_N017","X16405_N006","X16405_N008","X16405_N010","X16405_N013","X16405_N020","X16405_N021","X16405_N023","X16405_N024","X16405_N026","X16405_N028","X16405_N030","X16405_N031","X16405_N034","X16405_N035","X16405_N036","X16405_N037","X16405_N038","X16405_N039","X16405_N040","X16035_N058","X16400_N102","X16405_N127"
"Affx-86825838",4,3,4,4,3,4,3,3,4,4,3,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,4,3,4,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3,4,4
"Affx-86783835",4,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,4,4,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,3,4,3,3,3,4,3,4,3,3,4,4,4,3,3,4,4,4,4,3,3
"Affx-86818577",1,1,1,0,1,1,2,2,0,1,1,1,0,0,2,1,1,1,1,0,1,1,0,1,2,0,1,1,2,2,1,1,1,1,1,0,1,0,2,1,0,1,2,1,1,2,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2,0,1,2,0,0,1,0,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,0,2,2,2,1,1,0,1,2,1,0,1,2,1,1,0,1,0,2,1,0,1,0,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,2,2,0,2,1,0,1,1,0,0,0,0,1,2,0,2,1,2,2,1,1,1,1,1,1,0,1,0,2,0,1,2,1,1,2,0,0
"Affx-86809306",3,3,3,4,3,3,2,2,4,3,3,3,4,4,2,3,3,3,3,4,3,3,4,3,2,4,3,3,2,2,3,3,3,3,3,4,3,4,2,3,4,3,2,3,3,2,3,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,4,3,2,4,4,3,4,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,2,2,2,3,3,4,3,2,3,4,3,2,3,3,4,3,4,2,3,4,3,4,3,3,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,2,4,2,3,4,3,3,4,4,4,4,3,2,4,2,3,2,2,3,3,3,3,3,3,4,3,4,2,4,3,2,3,3,2,4,4
"Affx-86831709",0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,NA,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
"Affx-86831431",3,3,3,4,3,4,4,4,3,4,4,3,3,2,2,3,3,3,4,2,4,2,3,3,4,4,3,4,3,3,3,NA,2,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,4,4,3,3,4,3,3,2,4,3,3,3,3,2,3,3,3,2,3,3,4,3,3,2,3,2,3,4,NA,4,3,3,3,3,3,3,3,4,4,4,3,2,3,4,4,2,2,4,4,3,4,4,3,4,3,3,NA,2,NA,3,4,4,3,3,3,2,2,2,3,3,3,4,3,3,4,3,2,2,3,2,2,4,3,3,2,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,4,3,2,4,3,4,2,2,3,3,3
"Affx-86786637",2,1,2,2,1,1,2,2,1,1,2,1,1,0,2,1,2,1,1,0,2,0,1,1,2,1,1,2,2,NA,1,2,1,1,1,1,1,0,2,2,1,1,3,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,0,2,0,1,2,1,1,2,0,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,1,0,1,2,2,0,2,2,2,1,1,3,1,3,1,1,1,0,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,NA,0,2,0,0,2,2,1,0,0,1,2,2,0,2,2,2,3,1,1,3,2,1,1,1,2,1,2,1,2,2,1,1,2,0,0
"Affx-86835594",1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
"Affx-86806168",1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
"Affx-86819478",3,4,4,4,3,4,4,4,3,4,4,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,3,4,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,3,4,4,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,3,4,3,4,3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,3,3,3,3
"Affx-86810124",3,2,2,3,3,3,1,2,4,3,3,3,3,3,1,2,2,3,4,3,2,3,3,3,2,4,3,3,2,1,2,2,2,3,3,3,2,4,1,2,4,3,3,2,3,1,3,3,2,3,3,3,3,2,3,4,2,2,4,3,3,4,2,3,3,2,3,3,3,4,3,2,2,2,3,2,2,3,2,3,2,1,3,2,3,4,1,2,2,3,3,2,3,2,3,3,2,2,2,3,4,3,3,2,2,4,2,3,2,3,2,2,2,2,4,2,1,1,3,3,2,3,1,2,2,1,1,3,1,3,3,3,3,3,3,4,3,2,2,4,1,2,2,2,3,3,2,3,2,3,4,3,2,1,4,3,2,2,2,2,4,4
"Affx-86782376",3,2,3,2,2,2,4,3,2,2,3,1,3,2,3,3,4,2,2,2,3,2,3,3,3,2,1,3,2,4,3,3,2,1,3,3,3,1,4,2,1,2,2,3,2,3,NA,3,3,2,3,2,3,4,2,1,3,3,2,2,1,1,2,2,1,4,3,2,2,1,2,3,1,2,2,3,2,2,2,3,4,4,2,3,1,1,4,3,3,3,1,3,2,3,3,2,3,3,3,2,2,4,3,3,3,1,3,2,3,2,3,3,2,2,1,2,3,3,2,2,2,3,4,4,3,4,3,2,4,2,2,3,2,3,2,1,3,3,2,1,4,3,2,3,2,2,2,2,3,1,1,3,3,3,2,2,3,2,2,2,1,1
"Affx-86838373",0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"Affx-86817470",1,2,1,2,2,2,0,1,2,2,1,3,1,2,1,1,0,2,2,1,1,2,1,1,1,2,3,1,2,0,1,1,2,3,NA,1,1,3,0,2,3,2,2,1,1,1,2,1,1,2,1,2,1,0,2,3,1,1,2,2,3,3,2,2,3,0,1,2,2,3,2,1,3,2,NA,1,2,2,2,1,0,0,2,1,3,3,0,1,1,1,3,1,2,1,1,2,1,1,1,2,2,0,1,1,1,3,1,2,1,2,1,1,2,2,3,2,1,1,2,2,2,1,0,0,1,0,1,2,0,2,2,1,2,1,2,3,1,1,2,3,0,1,2,1,2,2,2,2,1,3,3,1,1,1,1,2,1,2,2,2,3,3
"Affx-86797348",3,2,2,3,3,3,1,2,4,3,3,3,3,3,1,2,2,3,4,2,2,3,3,3,2,4,3,3,2,1,2,2,2,3,3,3,2,4,1,2,4,3,3,2,2,1,NA,3,2,3,3,3,3,2,3,4,2,2,4,3,3,4,2,3,3,2,3,3,3,4,3,2,3,3,3,2,2,3,2,3,2,1,3,2,3,4,1,2,2,3,3,2,3,2,3,3,2,2,2,3,4,NA,3,2,2,4,2,3,2,3,2,2,2,2,4,2,1,1,2,3,2,3,1,2,3,1,2,3,1,3,3,3,3,3,3,4,3,2,3,4,1,2,2,2,3,3,2,3,2,3,4,3,2,1,3,3,2,2,2,2,4,4
"Affx-86811017",3,3,3,3,3,4,3,3,3,4,2,4,3,4,3,3,2,3,3,4,3,4,3,3,3,3,4,2,3,2,4,2,4,4,3,3,4,4,3,3,3,4,2,3,3,3,4,3,4,3,2,3,4,2,3,3,3,3,3,2,4,4,3,4,4,2,3,3,2,4,4,4,3,3,2,2,3,4,4,2,2,3,3,3,4,3,3,3,3,2,4,4,3,4,2,3,2,3,3,3,3,NA,3,2,4,3,3,3,2,2,3,3,3,3,3,4,3,3,3,2,3,2,3,2,3,2,2,4,3,4,4,3,2,3,4,4,3,3,2,4,3,3,3,2,4,4,3,3,4,4,3,2,4,3,3,2,3,4,4,4,4,4
"Affx-86794772",1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,NA,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1
"Affx-86787518",1,2,0,1,2,2,2,3,2,2,3,1,2,1,1,1,2,3,2,2,3,2,1,1,3,2,1,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,0,2,1,NA,1,2,0,2,1,1,2,1,1,0,2,2,1,1,2,1,1,0,2,2,1,1,2,2,2,2,0,2,1,2,2,1,3,2,2,3,0,1,1,2,3,2,3,1,2,2,1,3,1,1,2,2,3,2,NA,1,2,1,1,2,1,1,2,1,3,2,2,1,1,1,1,1,3,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,1,2,2,0,2,1,2,2,2,1,2,1,1,3,1,1,2,1,3,1,1,1,2,2
"Affx-86795405",1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,NA,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1
"Affx-86826819",4,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,3,NA,3,3,4,4,4,3,3,3,4,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3
"Affx-86794418",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,NA,0,0,1,1,0,0,1,0,0,0
"Affx-86803163",1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,NA,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1
"Affx-86838217",3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,3,4,3,3,3,4,4,3,4,4,3,4,NA,3,3,4,3,4,3,NA,4,4,4,3,3,4,3,3,4,3,4,3,3,4,4,3,3,3,4,4,NA,4,4,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,NA,3,NA,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,3,4,3,3
"Affx-86777347",1,1,2,1,0,1,2,1,0,2,0,1,2,1,2,2,1,0,0,2,1,1,1,1,1,0,1,0,1,1,2,1,1,1,1,2,2,0,2,1,0,1,0,2,1,2,1,1,1,1,0,1,1,1,1,1,2,1,0,2,1,0,2,0,2,1,1,1,1,0,1,2,0,1,0,1,1,1,2,0,1,2,0,2,1,0,2,2,1,0,1,2,0,2,0,1,1,2,1,0,0,0,2,1,2,0,1,0,1,0,1,1,1,1,0,2,2,2,1,0,1,0,2,1,1,2,1,1,2,1,1,1,0,1,1,1,2,1,0,0,2,2,1,1,1,0,1,1,2,1,0,0,NA,0,1,0,1,2,1,2,0,0
"Affx-86842562",0,2,0,1,1,1,1,2,1,1,2,1,1,0,1,1,1,2,1,1,2,1,0,0,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,2,0,1,0,2,1,1,2,1,1,2,0,1,1,1,1,1,2,1,1,1,0,2,0,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,2,1,1,1,0,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1
"Affx-86823540",3,4,4,4,3,4,4,4,3,4,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,4,3,3,3,4,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,3,4,3,4,3,4,3,3,3,3,4,4,3,4,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,3,3,4,4,3,4,3,3,3,3,3,NA,3,4,4,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,3,3,4,4,3,4,3,4,3,4,4,3,3,4,3,3,4,3,4,3,4,3,3,3
"Affx-86842482",1,2,2,1,1,1,3,2,0,2,1,1,2,1,3,2,2,1,0,2,2,1,1,1,2,0,1,1,2,2,2,2,1,1,2,2,2,0,3,2,0,1,1,2,2,3,NA,NA,1,1,1,1,1,2,1,1,2,2,0,2,1,0,2,0,2,2,2,1,2,0,1,2,1,1,1,1,2,1,2,1,2,3,1,2,1,0,3,2,2,1,1,2,1,2,1,1,2,3,2,1,0,1,2,2,2,0,2,0,2,1,2,2,2,2,0,2,3,3,NA,NA,2,0,3,2,1,3,2,1,3,1,1,1,1,1,1,1,2,2,1,0,3,2,2,2,0,0,2,1,2,1,0,1,2,1,1,1,2,2,1,2,0,1
"Affx-86782506",1,2,1,2,2,2,0,1,2,1,2,2,1,2,1,1,0,2,2,1,1,2,1,1,1,2,3,1,2,1,1,1,2,3,1,1,1,3,0,2,3,2,2,1,1,1,3,1,2,2,1,2,2,0,2,2,1,1,2,2,2,3,2,3,2,0,1,2,1,3,2,1,3,2,2,2,2,2,2,1,0,0,2,1,3,3,0,1,1,1,3,1,2,1,1,1,1,0,1,2,2,0,1,1,1,3,0,3,1,2,1,1,2,1,3,2,1,1,2,2,2,2,0,0,1,0,1,2,0,2,2,1,2,1,2,2,1,1,2,3,0,1,2,1,3,2,2,2,1,3,3,1,2,2,1,2,1,2,1,2,3,2
"Affx-86841001",1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,NA,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,NA,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0
"Affx-86836141",1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,NA,1,NA,0,0,1,0,1,NA,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,NA,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,NA,1,0,1,1,1,1,1,0,NA,1,1,1,NA,1,0,1,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
"Affx-86814316",3,3,2,3,4,3,2,3,4,2,4,3,2,3,2,2,3,4,4,2,NA,3,3,3,3,4,3,4,3,3,2,3,3,3,3,2,2,4,3,3,4,3,4,2,3,2,3,3,3,3,4,3,3,3,NA,NA,2,3,4,2,3,4,2,4,2,3,3,3,3,4,4,2,4,3,4,3,3,3,2,4,3,2,4,2,3,4,2,2,3,4,3,NA,4,2,4,3,3,2,3,4,4,4,2,3,2,4,3,4,3,4,2,3,3,3,4,2,2,2,3,4,3,4,2,3,3,2,3,3,2,3,3,3,4,3,3,3,2,3,4,4,2,2,3,3,4,4,3,3,2,3,4,4,2,4,3,4,3,2,3,2,4,3
"Affx-86780689",2,1,2,2,3,1,0,0,2,0,1,1,NA,2,2,1,1,1,2,0,0,1,2,2,1,2,1,2,1,2,NA,2,2,2,1,1,0,3,1,2,3,1,3,2,1,1,2,2,1,3,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,0,2,3,2,3,1,1,1,1,1,0,1,2,2,3,0,0,0,1,2,0,2,NA,1,2,2,0,1,1,2,NA,1,1,1,3,1,3,1,2,2,0,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,0,3,2,0,2,1,2,3,2,1,1,0,2,2,1,1,3,1,3,0,1,1,NA,2,1
"Affx-86807485",4,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,4,3,4,4,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3
"Affx-86833239",1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,NA,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
"Affx-86816372",3,3,4,4,3,3,2,2,3,3,2,3,3,3,4,4,2,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,4,4,3,4,3,4,2,3,4,3,3,4,2,3,3,3,3,4,2,4,3,2,4,3,4,2,3,4,3,3,4,3,4,2,3,4,2,3,3,3,3,4,2,4,3,3,4,2,2,2,2,4,4,4,3,3,2,2,3,3,2,3,2,3,3,2,2,2,3,NA,3,3,3,4,2,3,2,3,4,2,3,3,4,4,3,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,4,2,3,3,2,4,3,3,4,3,3,3,3,4,3,2,4,3,3,3,2,4,3,4,3,3
"Affx-86797910",2,2,2,1,1,2,4,3,1,3,2,2,3,2,2,2,3,2,1,3,3,2,2,3,2,1,2,2,2,2,3,2,1,1,2,2,3,0,3,2,0,2,1,2,3,3,1,2,2,1,2,1,2,3,1,2,2,3,1,2,NA,1,2,1,2,3,2,1,3,1,1,3,1,1,NA,1,2,2,2,2,3,4,2,2,1,0,3,3,3,2,2,3,2,3,2,2,2,4,3,2,1,NA,3,2,3,0,3,1,3,1,2,NA,NA,2,0,2,3,3,2,2,2,1,3,3,2,3,2,2,4,2,3,2,1,2,2,2,2,3,1,1,4,2,2,2,0,1,2,2,3,1,1,2,2,1,2,1,3,2,2,2,1,2
"Affx-86840106",1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,NA,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,NA,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
"Affx-86838631",2,0,1,1,2,0,0,0,2,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,2,0,2,2,1,1,1,0,2,1,1,2,0,2,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,1,1,0,2,2,2,2,1,0,1,1,1,0,1,1,1,2,1,0,0,1,1,0,1,0,1,1,2,0,0,1,1,1,0,1,0,2,1,2,1,2,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,0,2,1,0,1,1,1,2,1,1,0,0,1,1,1,1,2,1,2,0,1,1,1,1,0
